"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Apr 26 13:10:19 GMT 2025","Sat Apr 26 13:10:20 GMT 2025","1278","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Sat Apr 26 13:10:07 GMT 2025","Sat Apr 26 13:10:09 GMT 2025","2075","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Sat Apr 26 13:10:04 GMT 2025","Sat Apr 26 13:10:04 GMT 2025","385","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
"passed","Sat Apr 26 13:10:06 GMT 2025","Sat Apr 26 13:10:06 GMT 2025","387","","tests.ApiTests","","tests.ApiTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Sat Apr 26 13:10:02 GMT 2025","Sat Apr 26 13:10:04 GMT 2025","2363","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Sat Apr 26 13:10:06 GMT 2025","Sat Apr 26 13:10:06 GMT 2025","394","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Sat Apr 26 13:10:06 GMT 2025","Sat Apr 26 13:10:07 GMT 2025","378","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Sat Apr 26 13:10:20 GMT 2025","Sat Apr 26 13:10:28 GMT 2025","8514","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Sat Apr 26 13:10:09 GMT 2025","Sat Apr 26 13:10:19 GMT 2025","9656","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Sat Apr 26 13:10:04 GMT 2025","Sat Apr 26 13:10:06 GMT 2025","1176","","tests.ApiTests","","tests.ApiTests","checkUserResponseBody","checkUserResponseBody()",""
