"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9785","loadingImagesImplicitWaitTest()","","Wed Jan 14 19:33:14 UTC 2026","passed","Wed Jan 14 19:33:24 UTC 2026","","tests.UiTests","tests.UiTests","loadingImagesImplicitWaitTest"
"","2615","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)","","Wed Jan 14 19:32:56 UTC 2026","passed","Wed Jan 14 19:32:59 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","406","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)","","Wed Jan 14 19:32:59 UTC 2026","passed","Wed Jan 14 19:32:59 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","371","createUserControllerTest()","","Wed Jan 14 19:33:01 UTC 2026","passed","Wed Jan 14 19:33:01 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserControllerTest"
"","353","createUser()","","Wed Jan 14 19:33:01 UTC 2026","passed","Wed Jan 14 19:33:01 UTC 2026","","tests.ApiTests","tests.ApiTests","createUser"
"","1896","submitWebFormTest()","","Wed Jan 14 19:33:24 UTC 2026","broken","Wed Jan 14 19:33:26 UTC 2026","","tests.UiTests","tests.UiTests","submitWebFormTest"
"","8506","loadingImagesExplicitWaitTest()","","Wed Jan 14 19:33:26 UTC 2026","passed","Wed Jan 14 19:33:34 UTC 2026","","tests.UiTests","tests.UiTests","loadingImagesExplicitWaitTest"
"","386","createInvalidUserControllerTest()","","Wed Jan 14 19:33:00 UTC 2026","passed","Wed Jan 14 19:33:01 UTC 2026","","tests.ApiTests","tests.ApiTests","createInvalidUserControllerTest"
"","12577","loginPomTest()","","Wed Jan 14 19:33:01 UTC 2026","broken","Wed Jan 14 19:33:14 UTC 2026","","tests.UiPomTests","tests.UiPomTests","loginPomTest"
"","1203","checkUserResponseBody()","","Wed Jan 14 19:32:59 UTC 2026","passed","Wed Jan 14 19:33:00 UTC 2026","","tests.ApiTests","tests.ApiTests","checkUserResponseBody"
