"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","createUser()","","Sun Dec 07 18:10:33 UTC 2025","passed","Sun Dec 07 18:10:33 UTC 2025","","tests.ApiTests","tests.ApiTests","createUser"
"","137","createInvalidUserControllerTest()","","Sun Dec 07 18:10:33 UTC 2025","passed","Sun Dec 07 18:10:33 UTC 2025","","tests.ApiTests","tests.ApiTests","createInvalidUserControllerTest"
"","2183","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)","","Sun Dec 07 18:10:30 UTC 2025","passed","Sun Dec 07 18:10:32 UTC 2025","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","127","createUserControllerTest()","","Sun Dec 07 18:10:33 UTC 2025","passed","Sun Dec 07 18:10:33 UTC 2025","","tests.ApiTests","tests.ApiTests","createUserControllerTest"
"","155","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)","","Sun Dec 07 18:10:32 UTC 2025","passed","Sun Dec 07 18:10:32 UTC 2025","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","894","checkUserResponseBody()","","Sun Dec 07 18:10:32 UTC 2025","passed","Sun Dec 07 18:10:33 UTC 2025","","tests.ApiTests","tests.ApiTests","checkUserResponseBody"
"","12456","loginPomTest()","","Sun Dec 07 18:10:33 UTC 2025","broken","Sun Dec 07 18:10:46 UTC 2025","","tests.UiPomTests","tests.UiPomTests","loginPomTest"
"","1922","submitWebFormTest()","","Sun Dec 07 18:10:56 UTC 2025","broken","Sun Dec 07 18:10:58 UTC 2025","","tests.UiTests","tests.UiTests","submitWebFormTest"
"","9688","loadingImagesImplicitWaitTest()","","Sun Dec 07 18:10:46 UTC 2025","passed","Sun Dec 07 18:10:56 UTC 2025","","tests.UiTests","tests.UiTests","loadingImagesImplicitWaitTest"
"","8493","loadingImagesExplicitWaitTest()","","Sun Dec 07 18:10:58 UTC 2025","passed","Sun Dec 07 18:11:06 UTC 2025","","tests.UiTests","tests.UiTests","loadingImagesExplicitWaitTest"
