"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 16 11:08:19 GMT 2025","Sun Feb 16 11:08:28 GMT 2025","8543","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Sun Feb 16 11:08:08 GMT 2025","Sun Feb 16 11:08:18 GMT 2025","9575","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Sun Feb 16 11:08:18 GMT 2025","Sun Feb 16 11:08:19 GMT 2025","986","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Sun Feb 16 11:08:06 GMT 2025","Sun Feb 16 11:08:06 GMT 2025","119","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Sun Feb 16 11:08:06 GMT 2025","Sun Feb 16 11:08:06 GMT 2025","124","","tests.ApiTests","","tests.ApiTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Sun Feb 16 11:08:06 GMT 2025","Sun Feb 16 11:08:06 GMT 2025","111","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Sun Feb 16 11:08:05 GMT 2025","Sun Feb 16 11:08:05 GMT 2025","142","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
"passed","Sun Feb 16 11:08:06 GMT 2025","Sun Feb 16 11:08:08 GMT 2025","2149","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Sun Feb 16 11:08:03 GMT 2025","Sun Feb 16 11:08:05 GMT 2025","2166","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Sun Feb 16 11:08:05 GMT 2025","Sun Feb 16 11:08:06 GMT 2025","892","","tests.ApiTests","","tests.ApiTests","checkUserResponseBody","checkUserResponseBody()",""
