"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1997","submitWebFormTest()","","Wed Jan 14 14:20:09 UTC 2026","broken","Wed Jan 14 14:20:11 UTC 2026","","tests.UiTests","tests.UiTests","submitWebFormTest"
"","269","createUserControllerTest()","","Wed Jan 14 14:19:46 UTC 2026","passed","Wed Jan 14 14:19:46 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserControllerTest"
"","279","createInvalidUserControllerTest()","","Wed Jan 14 14:19:46 UTC 2026","passed","Wed Jan 14 14:19:46 UTC 2026","","tests.ApiTests","tests.ApiTests","createInvalidUserControllerTest"
"","286","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)","","Wed Jan 14 14:19:44 UTC 2026","passed","Wed Jan 14 14:19:45 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
"","9654","loadingImagesImplicitWaitTest()","","Wed Jan 14 14:19:59 UTC 2026","passed","Wed Jan 14 14:20:09 UTC 2026","","tests.UiTests","tests.UiTests","loadingImagesImplicitWaitTest"
"","12401","loginPomTest()","","Wed Jan 14 14:19:47 UTC 2026","broken","Wed Jan 14 14:19:59 UTC 2026","","tests.UiPomTests","tests.UiPomTests","loginPomTest"
"","8612","loadingImagesExplicitWaitTest()","","Wed Jan 14 14:20:11 UTC 2026","passed","Wed Jan 14 14:20:19 UTC 2026","","tests.UiTests","tests.UiTests","loadingImagesExplicitWaitTest"
"","1045","checkUserResponseBody()","","Wed Jan 14 14:19:45 UTC 2026","passed","Wed Jan 14 14:19:46 UTC 2026","","tests.ApiTests","tests.ApiTests","checkUserResponseBody"
"","265","createUser()","","Wed Jan 14 14:19:46 UTC 2026","passed","Wed Jan 14 14:19:47 UTC 2026","","tests.ApiTests","tests.ApiTests","createUser"
"","2516","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)","","Wed Jan 14 14:19:42 UTC 2026","passed","Wed Jan 14 14:19:44 UTC 2026","","tests.ApiTests","tests.ApiTests","createUserParametrizedTest"
