"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 10:30:34 GMT 2025","Sun Mar 30 10:30:44 GMT 2025","9581","","tests.UiTests","","tests.UiTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"failed","Sun Mar 30 10:30:32 GMT 2025","Sun Mar 30 10:30:34 GMT 2025","2141","","tests.UiPomTests","","tests.UiPomTests","loginPomTest","loginPomTest()",""
"passed","Sun Mar 30 10:30:31 GMT 2025","Sun Mar 30 10:30:31 GMT 2025","368","","tests.ApiTests","","tests.ApiTests","createInvalidUserControllerTest","createInvalidUserControllerTest()",""
"passed","Sun Mar 30 10:30:31 GMT 2025","Sun Mar 30 10:30:32 GMT 2025","385","","tests.ApiTests","","tests.ApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Sun Mar 30 10:30:27 GMT 2025","Sun Mar 30 10:30:29 GMT 2025","2394","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [1] User(id=0, username=username, firstName=firstName, lastName=lastName, email=email, password=null, phone=password, userStatus=0)",""
"passed","Sun Mar 30 10:30:32 GMT 2025","Sun Mar 30 10:30:32 GMT 2025","377","","tests.ApiTests","","tests.ApiTests","createUser","createUser()",""
"passed","Sun Mar 30 10:30:30 GMT 2025","Sun Mar 30 10:30:31 GMT 2025","1029","","tests.ApiTests","","tests.ApiTests","checkUserResponseBody","checkUserResponseBody()",""
"passed","Sun Mar 30 10:30:44 GMT 2025","Sun Mar 30 10:30:45 GMT 2025","1088","","tests.UiTests","","tests.UiTests","submitWebFormTest","submitWebFormTest()",""
"passed","Sun Mar 30 10:30:29 GMT 2025","Sun Mar 30 10:30:30 GMT 2025","375","","tests.ApiTests","","tests.ApiTests","createUserParametrizedTest","createUserParametrizedTest(User) [2] User(id=0, username=null, firstName=null, lastName=null, email=null, password=null, phone=null, userStatus=0)",""
"passed","Sun Mar 30 10:30:45 GMT 2025","Sun Mar 30 10:30:53 GMT 2025","8484","","tests.UiTests","","tests.UiTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
